iter	Passed	Remaining
0	3	3469
1	7	3544
2	9	3183
3	12	3013
4	14	2825
5	17	2847
6	21	3022
7	23	2879
8	28	3100
9	30	3026
10	33	2978
11	37	3089
12	40	3069
13	44	3100
14	47	3124
15	54	3330
16	56	3260
17	59	3232
18	63	3295
19	69	3415
20	72	3368
21	75	3366
22	79	3364
23	82	3369
24	86	3366
25	88	3299
26	89	3233
27	92	3223
28	95	3200
29	98	3186
30	101	3164
31	103	3136
32	106	3113
33	108	3083
34	110	3056
35	115	3094
36	117	3051
37	118	3011
38	122	3016
39	124	2997
40	129	3033
41	134	3066
42	137	3051
43	143	3124
44	146	3111
45	150	3116
46	152	3092
47	154	3069
48	157	3056
49	162	3088
50	166	3090
51	172	3152
52	179	3200
53	188	3298
54	221	3807
55	229	3877
56	233	3863
57	235	3828
58	237	3793
59	242	3792
60	244	3758
61	247	3747
62	250	3722
63	252	3687
64	255	3675
65	257	3644
66	266	3708
67	268	3682
68	273	3693
69	275	3656
70	276	3623
71	278	3593
72	280	3562
73	282	3535
74	284	3513
75	287	3491
76	290	3477
77	291	3449
78	294	3429
79	297	3417
80	299	3395
81	303	3396
82	305	3379
83	308	3365
84	311	3350
85	323	3435
86	328	3443
87	329	3419
88	332	3404
89	339	3431
90	356	3559
91	362	3581
92	365	3563
93	368	3547
94	371	3541
95	373	3518
96	376	3506
97	379	3492
98	383	3491
99	413	3725
100	417	3718
101	419	3695
102	423	3686
103	425	3662
104	428	3653
105	430	3630
106	433	3618
107	439	3628
108	441	3605
109	442	3582
110	444	3562
111	446	3542
112	449	3524
113	450	3502
114	455	3501
115	457	3486
116	459	3464
117	462	3454
118	464	3439
119	467	3428
120	470	3418
121	472	3399
122	474	3384
123	477	3372
124	479	3359
125	489	3397
126	491	3380
127	494	3369
128	496	3354
129	499	3340
130	502	3333
131	504	3319
132	508	3314
133	511	3305
134	515	3303
135	517	3287
136	520	3277
137	522	3264
138	525	3256
139	527	3242
140	532	3243
141	535	3234
142	537	3219
143	539	3207
144	542	3196
145	545	3188
146	548	3183
147	556	3205
148	564	3222
149	567	3214
150	569	3202
151	571	3190
152	573	3175
153	577	3173
154	581	3168
155	583	3156
156	586	3149
157	588	3136
158	593	3140
159	595	3126
160	601	3134
161	605	3132
162	610	3135
163	613	3127
164	615	3117
165	619	3111
166	623	3109
167	625	3100
168	634	3121
169	642	3137
170	652	3165
171	672	3237
172	674	3222
173	675	3207
174	679	3204
175	682	3196
176	684	3183
177	691	3191
178	693	3179
179	695	3168
180	698	3159
181	702	3157
182	705	3149
183	708	3142
184	711	3135
185	716	3135
186	721	3138
187	740	3197
188	742	3185
189	751	3203
190	753	3191
191	757	3188
192	761	3182
193	763	3173
194	766	3164
195	768	3152
196	770	3140
197	772	3129
198	775	3120
199	777	3109
200	781	3106
201	783	3095
202	790	3104
203	792	3093
204	795	3086
205	799	3080
206	801	3072
207	807	3074
208	811	3070
209	814	3064
210	818	3058
211	821	3052
212	824	3045
213	827	3039
214	830	3030
215	842	3057
216	845	3052
217	849	3047
218	852	3040
219	857	3040
220	860	3034
221	865	3033
222	869	3028
223	875	3032
224	877	3021
225	879	3013
226	882	3004
227	887	3003
228	888	2992
229	891	2985
230	894	2977
231	897	2971
232	902	2970
233	905	2964
234	909	2961
235	911	2951
236	914	2943
237	917	2936
238	919	2928
239	921	2918
240	925	2915
241	928	2908
242	931	2902
243	935	2899
244	939	2894
245	942	2888
246	948	2893
247	952	2888
248	956	2884
249	958	2876
250	961	2870
251	965	2864
252	968	2859
253	972	2855
254	976	2854
255	980	2849
256	983	2843
257	986	2837
258	989	2831
259	994	2830
260	996	2821
261	999	2816
262	1002	2808
263	1005	2803
264	1007	2794
265	1009	2786
266	1013	2781
267	1014	2772
268	1017	2765
269	1021	2760
270	1023	2752
271	1024	2743
272	1028	2739
273	1032	2735
274	1035	2730
275	1037	2722
276	1041	2717
277	1043	2710
278	1046	2703
279	1049	2699
280	1052	2692
281	1054	2685
282	1056	2676
283	1059	2670
284	1061	2661
285	1065	2659
286	1068	2654
287	1071	2648
288	1074	2642
289	1075	2634
290	1079	2629
291	1081	2621
292	1083	2614
293	1085	2606
294	1088	2602
295	1090	2594
296	1093	2588
297	1095	2581
298	1098	2574
299	1100	2568
300	1103	2561
301	1105	2555
302	1109	2551
303	1111	2543
304	1113	2536
305	1116	2531
306	1118	2523
307	1120	2517
308	1122	2509
309	1125	2505
310	1128	2501
311	1130	2493
312	1133	2486
313	1136	2481
314	1138	2475
315	1141	2471
316	1145	2467
317	1147	2462
318	1151	2457
319	1154	2453
320	1159	2452
321	1161	2446
322	1165	2442
323	1168	2437
324	1170	2431
325	1174	2428
326	1179	2428
327	1184	2425
328	1186	2418
329	1187	2411
330	1190	2405
331	1196	2406
332	1198	2401
333	1203	2400
334	1206	2394
335	1209	2390
336	1212	2385
337	1215	2380
338	1217	2374
339	1221	2371
340	1225	2367
341	1226	2360
342	1228	2353
343	1231	2349
344	1234	2343
345	1236	2336
346	1238	2330
347	1241	2326
348	1243	2319
349	1246	2315
350	1249	2310
351	1251	2304
352	1254	2300
353	1257	2293
354	1260	2289
355	1261	2282
356	1263	2276
357	1266	2271
358	1269	2266
359	1270	2259
360	1274	2255
361	1275	2248
362	1278	2243
363	1281	2238
364	1284	2234
365	1285	2227
366	1288	2223
367	1290	2216
368	1294	2212
369	1296	2208
370	1299	2202
371	1302	2198
372	1304	2193
373	1307	2188
374	1309	2182
375	1311	2176
376	1313	2170
377	1316	2166
378	1319	2161
379	1321	2156
380	1323	2149
381	1325	2144
382	1328	2140
383	1330	2133
384	1332	2127
385	1334	2123
386	1336	2116
387	1337	2110
388	1341	2106
389	1344	2102
390	1346	2097
391	1348	2091
392	1351	2087
393	1353	2081
394	1356	2077
395	1359	2074
396	1362	2070
397	1364	2064
398	1368	2061
399	1370	2056
400	1372	2050
401	1375	2046
402	1378	2041
403	1381	2038
404	1384	2033
405	1385	2027
